J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
45,16,4,60,73,47,49,44,50,34,33,93,99,53,13,21,98,56,96,83,0,3,16,49,71,24,73,78,43,84,64,80,51,66,31,77,67,14,81,17
17,57,69,70,52,19,57,11,62,59,97,25,56,73,39,74,72,82,51,34,34,90,36,47,11,37,44,68,23,50,43,58,45,28,65,32,95,21,35,48
52,72,43,90,97,70,47,22,37,34,37,82,8,4,72,21,61,33,17,16,24,93,15,58,38,60,11,49,41,53,23,99,41,84,72,2,72,93,85,97
68,6,56,96,50,32,26,30,89,41,36,41,18,32,14,15,87,31,64,29,51,60,91,37,58,48,81,29,4,62,25,13,66,52,28,30,95,1,65,91
51,1,11,9,70,0,8,33,61,73,27,9,39,91,35,63,88,78,42,16,49,94,2,70,92,30,89,70,94,21,35,66,26,25,54,36,13,85,11,46
21,3,82,84,95,77,28,83,35,95,62,18,97,18,26,96,77,64,35,82,70,75,57,39,4,16,27,15,40,41,21,29,51,40,13,64,98,73,4,23
70,51,37,69,78,5,44,57,64,19,32,73,98,97,25,78,66,61,25,18,22,2,10,42,23,60,92,75,36,84,58,76,57,49,92,53,33,28,62,72
85,1,84,61,0,35,88,21,74,23,68,44,37,56,34,39,96,60,39,73,98,62,31,91,9,5,44,11,48,86,51,55,20,81,86,74,38,43,69,78
61,32,64,21,24,68,50,60,15,12,36,73,75,92,70,13,36,55,82,73,79,51,56,79,17,94,86,12,76,32,79,14,16,44,88,94,62,75,64,5
57,99,83,36,7,1,9,56,29,23,64,48,45,73,49,92,77,32,96,44,28,91,62,84,28,79,55,78,35,3,81,40,22,15,51,89,33,6,74,12
